año,mes,total,ushuaia,almanza
1990,Enero,4938.8,4938.8,0
1990,Febrero,166.7,166.7,0
1990,Marzo,29.4,29.4,0
1990,Abril,3290.9,3290.9,0
1990,Mayo,756.1,756.1,0
1990,Junio ,5838.2,5838.2,0
1990,Julio,5327.8,5327.8,0
1990,Agosto,325.2,325.2,0
1990,Septiembre,4785.6,4785.6,0
1990,Octubre,6771.6,6771.6,0
1990,Noviembre,2507,2507,0
1990,Diciembre,6680.2,6680.2,0
1991,Enero,8319.1,8319.1,0
1991,Febrero,38.5,38.5,0
1991,Marzo,6332.3,6332.3,0
1991,Abril,3556.2,3556.2,0
1991,Mayo,9371.1,9371.1,0
1991,Junio ,19411.6,19411.6,0
1991,Julio,3313.8,3313.8,0
1991,Agosto,7000.5,7000.5,0
1991,Septiembre,7436.4,7436.4,0
1991,Octubre,10047.5,10047.5,0
1991,Noviembre,8051.8,8051.8,0
1991,Diciembre,13251.6,13251.6,0
1992,Enero,12211.4,12211.4,0
1992,Febrero,11575.4,11575.4,0
1992,Marzo,6098.8,6098.8,0
1992,Abril,6095.2,6095.2,0
1992,Mayo,11779.5,11779.5,0
1992,Junio ,15912.3,15912.3,0
1992,Julio,9887.3,9887.3,0
1992,Agosto,6874.4,6874.4,0
1992,Septiembre,2421.3,2421.3,0
1992,Octubre,8420.2,8420.2,0
1992,Noviembre,13901.6,13901.6,0
1992,Diciembre,7387.9,7387.9,0
1993,Enero,23048.9,23048.9,0
1993,Febrero,11387,11387,0
1993,Marzo,24416.5,24416.5,0
1993,Abril,6598.5,6598.5,0
1993,Mayo,20475.6,20475.6,0
1993,Junio ,14275.3,14275.3,0
1993,Julio,3538.5,3538.5,0
1993,Agosto,10039.1,10039.1,0
1993,Septiembre,7609,7609,0
1993,Octubre,7701,7701,0
1993,Noviembre,21169.7,21169.7,0
1993,Diciembre,17157.2,17157.2,0
1994,Enero,2379.6,2379.6,0
1994,Febrero,8674.6,8674.6,0
1994,Marzo,6529,6529,0
1994,Abril,6486.9,6486.9,0
1994,Mayo,8609.1,8609.1,0
1994,Junio ,18260.5,18260.5,0
1994,Julio,14878.1,14878.1,0
1994,Agosto,2539.5,2539.5,0
